oIMDb,rIMDb,Original Budget,Original Box Office US/CA,Original Box Office Worldwide,Original Length,Original Rating,Original Director Names,Original Director Links,Original Cast Names,Original Cast Links,Original Awards,Remade Budget,Remade Box Office US/CA,Remade Box Office Worldwide,Remade Length,Remade Rating,Remade Director Names,Remade Director Links,Remade Cast Names,Remade Cast Links,Remade Awards
tt0057212,tt1436045,,,,2h 5m,7.4,Eiichi Kudô,['https://www.imdb.com/name/nm0473791/'],"Takayuki Akutagawa, Chiezô Kataoka, Kôtarô Satomi","['https://www.imdb.com/name/nm3321261/', 'https://www.imdb.com/name/nm0441154/', 'https://www.imdb.com/name/nm0766316/']",,"$6,000,000 (estimated)","$802,778","$18,689,058",2h 21m,7.5,Takashi Miike,['https://www.imdb.com/name/nm0586281/'],"Kôji Yakusho, Takayuki Yamada, Yûsuke Iseya","['https://www.imdb.com/name/nm0945131/', 'https://www.imdb.com/name/nm1303233/', 'https://www.imdb.com/name/nm0410832/']","Best Production Designer
Yûji Hayashida, Best Director
Takashi Miike, Best Actor
Kôji Yakusho, Best Editor
Kenji Yamashita, Best Costume Designer
Kazuhiro Sawataishi, Favorite Actor
Kôji Yakusho"
tt0053559,tt0245674,,"$3,270,000",,1h 25m,6.0,William Castle,['https://www.imdb.com/name/nm0145336/'],"Charles Herbert, Jo Morrow, Martin Milner","['https://www.imdb.com/name/nm0378517/', 'https://www.imdb.com/name/nm0607507/', 'https://www.imdb.com/name/nm0590398/']","Best DVD Collection
            For 
        The Tingler
            , 
        Homicidal
            , 
        Mr. Sardonicus
            , 
        Zotz!
            , 
        13 Frightened Girls
            , 
        The Old Dark House
            , 
        Strait-Jacket
            and 
        Spine Tingler! The William Castle Story

As part of ""The William Castle Collection"".","$42,000,000 (estimated)","$41,867,960","$68,467,960",1h 31m,5.6,Steve Beck,['https://www.imdb.com/name/nm0065284/'],"Tony Shalhoub, Shannon Elizabeth, Embeth Davidtz","['https://www.imdb.com/name/nm0001724/', 'https://www.imdb.com/name/nm0002436/', 'https://www.imdb.com/name/nm0001110/']",Best Horror Film
tt0475169,tt0798817,,"$121,390","$795,223",1h 33m,7.3,Géla Babluani,['https://www.imdb.com/name/nm1201875/'],"George Babluani, Aurélien Recoing, Pascal Bongard","['https://www.imdb.com/name/nm2073007/', 'https://www.imdb.com/name/nm0714534/', 'https://www.imdb.com/name/nm0094445/']","Most Promising Actor (Meilleur espoir masculin)
George Babluani, Best First Film (Meilleur premier film)
Géla Babluani","$20,000,000 (estimated)",,"$3,701,600",1h 31m,6.0,Géla Babluani,['https://www.imdb.com/name/nm1201875/'],"Sam Riley, Alice Barrett, Gaby Hoffmann","['https://www.imdb.com/name/nm0727165/', 'https://www.imdb.com/name/nm0057055/', 'https://www.imdb.com/name/nm0000451/']",Best DVD Release
tt1187043,tt2180477,"₹550,000,000 (estimated)","$6,532,874","$60,262,836",2h 50m,8.4,Rajkumar Hirani,['https://www.imdb.com/name/nm0386246/'],"Aamir Khan, Madhavan, Mona Singh","['https://www.imdb.com/name/nm0451148/', 'https://www.imdb.com/name/nm0534856/', 'https://www.imdb.com/name/nm1587175/']","Best Film
Vidhu Vinod Chopra

Vinod Chopra Productions, Best Actor
Aamir Khan, Best Director
Rajkumar Hirani, Best International DVD, Best Playback Singer - Female
Shreya Ghoshal


For the song "" Zoobi Doobi"", Best Editing
Rajkumar Hirani, Best Script
Rajkumar Hirani

Abhijat Joshi, Best Supporting Actor
Boman Irani, Best Supporting Actor
Sharman Joshi, Breakthrough Role (Actor)
Omi Vaidya","₹600,000,000 (estimated)",,"$15,007,076",3h 8m,7.7,S. Shankar,['https://www.imdb.com/name/nm0788171/'],"Joseph Vijay, Jiiva, Srikanth","['https://www.imdb.com/name/nm0897201/', 'https://www.imdb.com/name/nm1883318/', 'https://www.imdb.com/name/nm0820241/']","Best Actor
Joseph Vijay

            For 
        Thuppakki, Best Costume Designer
Kunal Rawal

Deepali Noor"
tt0050086,tt0381849,,"$4,033,000",,1h 32m,7.6,Delmer Daves,['https://www.imdb.com/name/nm0202681/'],"Glenn Ford, Van Heflin, Felicia Farr","['https://www.imdb.com/name/nm0001229/', 'https://www.imdb.com/name/nm0001336/', 'https://www.imdb.com/name/nm0268012/']","Best Film from any Source

USA.","$55,000,000 (estimated)","$53,606,916","$70,016,220",2h 2m,7.7,James Mangold,['https://www.imdb.com/name/nm0003506/'],"Russell Crowe, Christian Bale, Ben Foster","['https://www.imdb.com/name/nm0000128/', 'https://www.imdb.com/name/nm0000288/', 'https://www.imdb.com/name/nm0004936/']","Best Achievement in Music Written for Motion Pictures, Original Score
Marco Beltrami, Best Achievement in Sound Mixing
Paul Massey

David Giammarco

Jim Stuebe"
tt0057809,tt0096977,,,,1h 55m,7.3,George Seaton,['https://www.imdb.com/name/nm0780833/'],"James Garner, Eva Marie Saint, Rod Taylor","['https://www.imdb.com/name/nm0001258/', 'https://www.imdb.com/name/nm0001693/', 'https://www.imdb.com/name/nm0001792/']",,,,,1h 40m,5.4,Peter Markle,['https://www.imdb.com/name/nm0548533/'],"Corbin Bernsen, Joanna Pacula, John Glover","['https://www.imdb.com/name/nm0000929/', 'https://www.imdb.com/name/nm0001586/', 'https://www.imdb.com/name/nm0001278/']",
tt0026029,tt0053354,"£50,000 (estimated)",,"$51,711",1h 26m,7.6,Alfred Hitchcock,['https://www.imdb.com/name/nm0000033/'],"Robert Donat, Madeleine Carroll, Lucie Mannheim","['https://www.imdb.com/name/nm0232196/', 'https://www.imdb.com/name/nm0140914/', 'https://www.imdb.com/name/nm0543169/']","Best Director
Alfred Hitchcock

            For 
        The Man Who Knew Too Much",,,,1h 33m,6.6,Ralph Thomas,['https://www.imdb.com/name/nm0859387/'],"Kenneth More, Taina Elg, Brenda de Banzie","['https://www.imdb.com/name/nm0603336/', 'https://www.imdb.com/name/nm0253359/', 'https://www.imdb.com/name/nm0207219/']",
tt0018379,tt0029539,"$1,300,000 (estimated)",,,1h 50m,7.6,Frank Borzage,['https://www.imdb.com/name/nm0097648/'],"Janet Gaynor, Charles Farrell, Ben Bard","['https://www.imdb.com/name/nm0310980/', 'https://www.imdb.com/name/nm0268190/', 'https://www.imdb.com/name/nm0054133/']","Best Actress in a Leading Role
Janet Gaynor

            For 
        Street Angel
            and 
        Sunrise: A Song of Two Humans, Best Director, Dramatic Picture
Frank Borzage, Best Writing, Adaptation
Benjamin Glazer, Best Picture, Production, Best Art Direction
Harry Oliver",,,,1h 42m,7.0,Henry King,['https://www.imdb.com/name/nm0454771/'],"Simone Simon, James Stewart, Jean Hersholt","['https://www.imdb.com/name/nm0800386/', 'https://www.imdb.com/name/nm0000071/', 'https://www.imdb.com/name/nm0380965/']","Best Foreign Film
Henry King"
tt0425735,tt11686638,,,,2h 27m,5.7,Nazrul Islam,['https://www.imdb.com/name/nm0411262/'],"Nadeem Baig, Bahar Begum, Perveen Bobby","['https://www.imdb.com/name/nm3221054/', 'https://www.imdb.com/name/nm0066827/', 'https://www.imdb.com/name/nm3502854/']",,,,,2013,7.0,Sarmad Sultan Khoosat,['https://www.imdb.com/name/nm2557565/'],"Ali Ansari, Firdaus Jamal, Saba Qamar","['https://www.imdb.com/name/nm10172635/', 'https://www.imdb.com/name/nm1625490/', 'https://www.imdb.com/name/nm3884476/']",
tt0083578,tt5489004,,,,2h 18m,7.8,Mahesh Bhatt,['https://www.imdb.com/name/nm0080315/'],"Shabana Azmi, Kulbhushan Kharbanda, Smita Patil","['https://www.imdb.com/name/nm0000818/', 'https://www.imdb.com/name/nm0451425/', 'https://www.imdb.com/name/nm0665599/']","Best Actress
Shabana Azmi, Best Supporting Actress
Rohini Hattangadi, Best Dialogue
Mahesh Bhatt, Best Film, Best Supporting Actress
Smita Patil",,,"$29,938",2h 14m,5.6,"Shaan Shahid, Sanjay Upadhyay","['https://www.imdb.com/name/nm0787030/', 'https://www.imdb.com/name/nm8048359/']","Shaan Shahid, Uzma Hassan, Humaima Malik","['https://www.imdb.com/name/nm0787030/', 'https://www.imdb.com/name/nm4845109/', 'https://www.imdb.com/name/nm3892419/']","Best Singer - Male
Rahat Fateh Ali Khan, Best Actress
Uzma Hassan, Best Supporting Actress
Humaima Malik, Best Singer - Female
Sana Zulfiqar, Best Singer - Male
Sahir Ali Bagga"
