imdb_id,Movie Budget,Movie Box Office US/CA,Movie Box Office Worldwide,Movie Length,Movie Rating,Movie Director Names,Movie Director Links,Movie Cast Names,Movie Cast Links,Movie Awards
tt0795421,"$52,000,000 (estimated)","$144,169,664","$694,476,782",1h 48m,6.5,Phyllida Lloyd,['https://www.imdb.com/name/nm1630273/'],"Meryl Streep, Pierce Brosnan, Amanda Seyfried","['https://www.imdb.com/name/nm0000658/', 'https://www.imdb.com/name/nm0000112/', 'https://www.imdb.com/name/nm1086543/']","Judy Craymer

Gary Goetzman

Phyllida Lloyd

Catherine Johnson, Benny Andersson

Björn Ulvaeus, Judy Craymer
(producer)"
tt6911608,"$75,000,000 (estimated)","$120,634,935","$402,264,843",1h 54m,6.6,Ol Parker,['https://www.imdb.com/name/nm0662530/'],"Lily James, Amanda Seyfried, Meryl Streep","['https://www.imdb.com/name/nm4141252/', 'https://www.imdb.com/name/nm1086543/', 'https://www.imdb.com/name/nm0000658/']","Excellence in Contemporary Film
Michele Clapton"
tt0078748,"$11,000,000 (estimated)","$81,900,459","$106,285,522",1h 57m,8.5,Ridley Scott,['https://www.imdb.com/name/nm0000631/'],"Sigourney Weaver, Tom Skerritt, John Hurt","['https://www.imdb.com/name/nm0000244/', 'https://www.imdb.com/name/nm0000643/', 'https://www.imdb.com/name/nm0000457/']","Best Effects, Visual Effects
H.R. Giger

Carlo Rambaldi

Brian Johnson

Nick Allder

Dennis Ayling, Best Art Direction-Set Decoration
Michael Seymour

Leslie Dilley

Roger Christian

Ian Whittaker"
tt0090605,"$18,500,000 (estimated)","$85,160,248","$131,060,248",2h 17m,8.4,James Cameron,['https://www.imdb.com/name/nm0000116/'],"Sigourney Weaver, Michael Biehn, Carrie Henn","['https://www.imdb.com/name/nm0000244/', 'https://www.imdb.com/name/nm0000299/', 'https://www.imdb.com/name/nm0001343/']","Best Effects, Sound Effects Editing
Don Sharpe, Best Effects, Visual Effects
Robert Skotak

Stan Winston

John Richardson

Suzanne M. Benson, Best Actress in a Leading Role
Sigourney Weaver, Best Art Direction-Set Decoration
Peter Lamont

Crispian Sallis, Best Sound
Graham V. Hartstone

Nicolas Le Messurier

Michael Carter

Roy Charman, Best Film Editing
Ray Lovejoy, Best Music, Original Score
James Horner"
tt0103644,"$50,000,000 (estimated)","$55,473,545","$159,814,498",1h 54m,6.4,David Fincher,['https://www.imdb.com/name/nm0000399/'],"Sigourney Weaver, Charles S. Dutton, Charles Dance","['https://www.imdb.com/name/nm0000244/', 'https://www.imdb.com/name/nm0001165/', 'https://www.imdb.com/name/nm0001097/']","Best Effects, Visual Effects
Richard Edlund

Alec Gillis

Tom Woodruff Jr.

George Gibbs"
tt0118583,"$75,000,000 (estimated)","$47,795,658","$161,376,069",1h 49m,6.2,Jean-Pierre Jeunet,['https://www.imdb.com/name/nm0000466/'],"Sigourney Weaver, Winona Ryder, Dominique Pinon","['https://www.imdb.com/name/nm0000244/', 'https://www.imdb.com/name/nm0000213/', 'https://www.imdb.com/name/nm0684500/']","Best DVD Collection
            For 
        Alien
            , 
        Aliens
            and 
        Alien³

As part of the ""Alien Anthology""."
tt0055928,"$1,000,000 (estimated)","$16,067,035","$16,117,818",1h 50m,7.2,Terence Young,['https://www.imdb.com/name/nm0950109/'],"Sean Connery, Ursula Andress, Bernard Lee","['https://www.imdb.com/name/nm0000125/', 'https://www.imdb.com/name/nm0000266/', 'https://www.imdb.com/name/nm0496866/']","Best DVD/Blu-Ray Collection
            For 
        Casino Royale
            , 
        Goldfinger
            , 
        Diamonds Are Forever
            , 
        The Man with the Golden Gun
            , 
        Die Another Day
            , 
        The Spy Who Loved Me
            , 
        From Russia with Love
            , 
        Thunderball
            and 
        On Her Majesty's Secret Service


As part of ""Bond 50: The Complete 22 Film Collection"". The films You Only Live Twice (1967), Live ...                More


As part of ""Bond 50: The Complete 22 Film Collection"". The films You Only Live Twice (1967), Live and Let Die (1973), Moonraker (1979), For Your Eyes Only (1981), Octopussy (1983), A View to a Kill (1985), The Living Daylights (1987), Licence to Kill (1989), GoldenEye (1995), Tomorrow Never Dies (1997), The World Is Not Enough (1999) and Quantum of Solace (2008) were also included in the nomination."
tt0057076,"$2,000,000 (estimated)","$24,796,765","$24,809,727",1h 55m,7.4,Terence Young,['https://www.imdb.com/name/nm0950109/'],"Sean Connery, Robert Shaw, Lotte Lenya","['https://www.imdb.com/name/nm0000125/', 'https://www.imdb.com/name/nm0001727/', 'https://www.imdb.com/name/nm0502322/']","Best British Cinematography (Colour)
Ted Moore"
tt2382320,"$250,000,000 (estimated)","$160,891,007","$774,153,007",2h 43m,7.3,Cary Joji Fukunaga,['https://www.imdb.com/name/nm1560977/'],"Daniel Craig, Ana de Armas, Rami Malek","['https://www.imdb.com/name/nm0185819/', 'https://www.imdb.com/name/nm1869101/', 'https://www.imdb.com/name/nm1785339/']","Best Achievement in Music Written for Motion Pictures (Original Song)
Billie Eilish
(music and lyric by)

Finneas O'Connell
(music and lyric by)


For song ""No Time to Die"", Best Achievement in Visual Effects
Charlie Noble

Joel Green

Jonathan Fawkner

Chris Corbould, Best Sound
Simon Hayes

Oliver Tarney

James Harrison

Paul Massey

Mark Taylor"
tt0246460,"$142,000,000 (estimated)","$160,942,139","$431,971,116",2h 13m,6.1,Lee Tamahori,['https://www.imdb.com/name/nm0848414/'],"Pierce Brosnan, Halle Berry, Rosamund Pike","['https://www.imdb.com/name/nm0000112/', 'https://www.imdb.com/name/nm0000932/', 'https://www.imdb.com/name/nm0683253/']","Best DVD/Blu-Ray Collection
            For 
        Dr. No
            , 
        Casino Royale
            , 
        Goldfinger
            , 
        Diamonds Are Forever
            , 
        The Man with the Golden Gun
            , 
        The Spy Who Loved Me
            , 
        From Russia with Love
            , 
        Thunderball
            and 
        On Her Majesty's Secret Service


As part of ""Bond 50: The Complete 22 Film Collection"". The films You Only Live Twice (1967), Live ...                More


As part of ""Bond 50: The Complete 22 Film Collection"". The films You Only Live Twice (1967), Live and Let Die (1973), Moonraker (1979), For Your Eyes Only (1981), Octopussy (1983), A View to a Kill (1985), The Living Daylights (1987), Licence to Kill (1989), GoldenEye (1995), Tomorrow Never Dies (1997), The World Is Not Enough (1999) and Quantum of Solace (2008) were also included in the nomination."
