imdb_id,Movie Budget,Movie Box Office US/CA,Movie Box Office Worldwide,Movie Length,Movie Rating,Movie Director Names,Movie Director Links,Movie Cast Names,Movie Cast Links,Movie Awards
tt0066921,"$2,200,000 (estimated)","$26,617,553","$26,960,374",2h 16m,8.3,Stanley Kubrick,['https://www.imdb.com/name/nm0000040/'],"Malcolm McDowell, Patrick Magee, Michael Bates","['https://www.imdb.com/name/nm0000532/', 'https://www.imdb.com/name/nm0535861/', 'https://www.imdb.com/name/nm0060988/']",
tt0347048,,"$435,395","$11,065,801",2h 1m,7.9,Fatih Akin,['https://www.imdb.com/name/nm0015359/'],"Birol Ünel, Sibel Kekilli, Güven Kiraç","['https://www.imdb.com/name/nm0960379/', 'https://www.imdb.com/name/nm1402546/', 'https://www.imdb.com/name/nm0456077/']","Shooting Star
Sibel Kekilli"
tt0138704,"$60,000 (estimated)","$3,221,152","$3,221,152",1h 24m,7.3,Darren Aronofsky,['https://www.imdb.com/name/nm0004716/'],"Sean Gullette, Mark Margolis, Ben Shenkman","['https://www.imdb.com/name/nm0347797/', 'https://www.imdb.com/name/nm0546797/', 'https://www.imdb.com/name/nm0791570/']",
tt0243255,,"$725,854","$765,705",1h 35m,6.4,Catherine Breillat,['https://www.imdb.com/name/nm0106924/'],"Anaïs Reboux, Roxane Mesquida, Libero De Rienzo","['https://www.imdb.com/name/nm0714378/', 'https://www.imdb.com/name/nm0581953/', 'https://www.imdb.com/name/nm0211144/']",
tt0061395,,"$4,063,348","$4,162,021",1h 40m,7.7,Luis Buñuel,['https://www.imdb.com/name/nm0000320/'],"Catherine Deneuve, Jean Sorel, Michel Piccoli","['https://www.imdb.com/name/nm0000366/', 'https://www.imdb.com/name/nm0814799/', 'https://www.imdb.com/name/nm0681566/']",
tt0047577,"$800,000 (estimated)",,,1h 26m,5.9,"Joseph M. Newman, Jack Arnold","['https://www.imdb.com/name/nm0628149/', 'https://www.imdb.com/name/nm0000791/']","Jeff Morrow, Faith Domergue, Rex Reason","['https://www.imdb.com/name/nm0607504/', 'https://www.imdb.com/name/nm0231409/', 'https://www.imdb.com/name/nm0714155/']",
tt0059113,"$11,000,000 (estimated)","$111,721,910","$111,922,142",3h 17m,7.9,David Lean,['https://www.imdb.com/name/nm0000180/'],"Omar Sharif, Julie Christie, Geraldine Chaplin","['https://www.imdb.com/name/nm0001725/', 'https://www.imdb.com/name/nm0001046/', 'https://www.imdb.com/name/nm0001036/']","Best Writing, Screenplay Based on Material from Another Medium
Robert Bolt, Best Cinematography, Color
Freddie Young, Best Art Direction-Set Decoration, Color
John Box

Terence Marsh

Dario Simoni, Best Costume Design, Color
Phyllis Dalton, Best Music, Score - Substantially Original
Maurice Jarre, Best Picture
Carlo Ponti, Best Actor in a Supporting Role
Tom Courtenay, Best Director
David Lean, Best Sound
A.W. Watkins
(M-G-M British SSD)

Franklin Milton
(M-G-M SSD), Best Film Editing
Norman Savage"
tt0031971,"$392,000 (estimated)",,,1h 36m,7.8,John Ford,['https://www.imdb.com/name/nm0000406/'],"John Wayne, Claire Trevor, Andy Devine","['https://www.imdb.com/name/nm0000078/', 'https://www.imdb.com/name/nm0872456/', 'https://www.imdb.com/name/nm0222596/']",
tt0052311,"$829,000 (estimated)","$2,247,465","$2,285,063",1h 35m,8.0,Orson Welles,['https://www.imdb.com/name/nm0000080/'],"Charlton Heston, Orson Welles, Janet Leigh","['https://www.imdb.com/name/nm0000032/', 'https://www.imdb.com/name/nm0000080/', 'https://www.imdb.com/name/nm0001463/']",
tt0462482,,,,1h 32m,5.7,Michelle MacLaren,['https://www.imdb.com/name/nm0533713/'],"David Ames, Leigh Enns, Susan Kelso","['https://www.imdb.com/name/nm5223745/', 'https://www.imdb.com/name/nm1222265/', 'https://www.imdb.com/name/nm0447087/']",
tt0259711,"$68,000,000 (estimated)","$100,618,344","$203,388,341",2h 16m,6.9,Cameron Crowe,['https://www.imdb.com/name/nm0001081/'],"Tom Cruise, Penélope Cruz, Cameron Diaz","['https://www.imdb.com/name/nm0000129/', 'https://www.imdb.com/name/nm0004851/', 'https://www.imdb.com/name/nm0000139/']",
tt1077258,,,"$11,446,172",1h 45m,7.1,Robert Rodriguez,['https://www.imdb.com/name/nm0001675/'],"Rose McGowan, Freddy Rodríguez, Josh Brolin","['https://www.imdb.com/name/nm0000535/', 'https://www.imdb.com/name/nm0135585/', 'https://www.imdb.com/name/nm0000982/']","Best Director
Robert Rodriguez, Best Supporting Actress
Rose McGowan"
