oIMDb,rIMDb
tt0057212,tt1436045
tt0053559,tt0245674
tt0475169,tt0798817
tt1187043,tt2180477
tt0050086,tt0381849
tt0057809,tt0096977
tt0026029,tt0053354
tt0018379,tt0029539
tt0425735,tt11686638
tt0083578,tt5489004
tt0054594,tt0119137
tt0092513,tt4456850
tt0050105,tt0139065
tt0103639,tt6139732
tt0060086,tt0375173
tt0078767,tt0384806
tt0048947,tt0118617
tt0065398,tt1391034
tt0043286,tt0109127
tt0411118,tt1243957
tt0082479,tt0202233
tt1217637,tt1458175
tt0115561,tt0324554
tt0090655,tt0090655
tt0048960,tt0327437
tt0069729,tt0284867
tt0082031,tt1334512
tt0074156,tt0398712
tt0051380,tt0106317
tt0411131,tt0959328
tt0028597,tt0028597
tt0022651,tt0033365
tt0074174,tt0408524
tt0048977,tt0088766
tt0033373,tt0040820
tt0814022,tt0814022
tt0066811,tt0112457
tt0018674,tt0037640
tt0024865,tt0050169
tt0016629,tt0020668
tt0003665,tt0018678
tt0101414,tt2771200
tt0061391,tt0230030
tt0057878,tt0095031
tt0016641,tt0052618
tt0049006,tt1183251
tt0040160,tt0093640
tt0052216,tt0087096
tt0920457,tt1525323
tt0039190,tt0117372
tt0071222,tt0454082
tt0071222,tt10481868
tt0071230,tt4428398
tt2025506,tt3568002
tt0051418,tt0094761
tt0020697,tt0052638
tt0069815,tt0093145
tt0042276,tt0106466
tt0022718,tt0090966
tt0053472,tt0085276
tt0003698,tt0011998
tt0003698,tt0017158
tt0003698,tt0023841
tt0003698,tt0037557
tt0003698,tt0055523
tt0003698,tt0088850
tt0003698,tt4809638  
tt0068315,tt0289873
tt0901476,tt3833460
tt1233192,tt1233192
tt0024916,tt0042893
tt0386342,tt0765010
tt0029950,tt0051436
tt0052655,tt0112594
tt0049012,tt0088810
tt0303816,tt3832096
tt0010323,tt0441741
tt0077288,tt0115685
tt0092718,tt0337592
tt0055824,tt0101540
tt0052672,tt0067292
tt0055830,tt0120627
tt0055830,tt1939659
tt0074285,tt0319970
tt0017739,tt0020748
tt0017739,tt0031143
tt0017739,tt0077304
tt0034587,tt0083722
tt0021730,tt0078950
tt0021730,tt0044503
tt0056923,tt0270707
tt0070016,tt0413895
tt0042327,tt0349205
tt0042327,tt6705162
tt0035733,tt0371606
tt0094862,tt8663516
tt0882759,tt6448784
tt0882759,tt1612046
tt0039266,tt0090838
tt0037595,tt0103961
tt0042332,tt1661199
tt0082186,tt0800320
tt0867145,tt1018698
tt0085354,tt0119109
tt0065566,tt0112709
tt0347330,tt11083552
tt0035753,tt0043251
tt0072826,tt0097116
tt0069895,tt0455407
tt0041268,tt0114788
tt6093500,tt0158047
tt0042378,tt0094933
tt0031210,tt0057531
tt0308379,tt0382628
tt0077402,tt0363547
tt0020815,tt0030044
tt0088993,tt0489018
tt0088993,tt3053228
tt0069947,tt0119395
tt0043456,tt0970416
tt0795368,tt1321509
tt0075921,tt3605418
tt26487736,tt0452608
tt0025037,tt0119643
tt0071402,tt1137450
tt0990427,tt1226753
tt0051525,tt0051525
tt0046905,tt0051482
tt0047985,tt0099409
tt0031225,tt0042482
tt0031225,tt0046906
tt0060305,tt0795370
tt0046911,tt0116095
tt0046912,tt0335041
tt0046912,tt0082265
tt0046912,tt0120787
tt6192660,tt0093010
tt1196141,tt13834480
tt1650043,tt15847828
tt0077451,tt0281391
tt0077451,tt0364236
tt0077451,tt0292239
tt0077451,tt0461936
tt0077451,tt0920457
tt0077452,tt0084210
tt11286314,tt4289298
tt1147511,tt5544700
tt1147528,tt1851909
tt1147517,tt0802983
tt1147518,tt1260351
tt0313990,tt0313990
tt1147515,tt1264885
tt0036775,tt0070000
tt0022835,tt0033553
tt0013086,tt0099445
tt0033563,tt3861390
tt0087525,tt21386200
tt0087525,tt1160419
tt0111797,tt0255653
tt0090424,tt1226273
tt0072934,tt0082111
tt0319343,tt4147830
tt0072951,tt0112985
tt0083907,tt1288558
tt0250258,tt0997152
tt0325655,tt0443594
tt0325655,tt0406759
tt0080716,tt1395079
tt0026338,tt0045752
tt0042451,tt0101862
tt0042451,tt13249596
tt0043526,tt0113041
tt0118379,tt0101463
tt0118379,tt0107843
tt0030128,tt3411444
tt0077549,tt0411270
tt0106918,tt1313113
tt0087262,tt1798632
tt0031314,tt0179948
tt0031314,tt0048975
tt0099582,tt2039338
tt0059183,tt0377062
tt0057063,tt0116322
tt0051622,tt0091064
tt0080749,tt0432291
tt0026373,tt0034273
tt0026373,tt0043882
tt0087277,tt1068242
tt0035230,tt0049785
tt0035230,tt0114887
tt0087291,tt1142977
tt0076054,tt0113112
tt0076054,tt0322330
tt0076054,tt7631348
tt0076054,tt10919380
tt0020902,tt0029401
tt0020902,tt0037492
tt0089175,tt1438176
tt0021890,tt0032599
tt0021890,tt0071524
tt0021890,tt0096203
tt0091093,tt0098471
tt0076059,tt0369441
tt0119167,tt0808279
tt0060445,tt0404978
tt0071532,tt2039393
tt0082436,tt0164212
tt0031359,tt0036855
tt0017925,tt0040825
tt0067128,tt0208988
tt0080798,tt0120683
tt0068646,tt0307453
tt0068646,tt1281838
tt0079219,tt2568862
tt0005402,tt0012187
tt0071571,tt5285622
tt0024073,tt0050450
tt0076095,tt0076095
tt0093111,tt0102631
tt0033680,tt0147599
tt0033680,tt0045182
tt0074592,tt0460812
tt0061735,tt0372237
tt6742252,tt9421570
tt0031398,tt0056470
tt0035959,tt0096794
tt0077651,tt0373883
tt3384854,tt0027515
tt0056058,tt1728196
tt0057129,tt0171363
tt0093164,tt2231253
tt0068687,tt0408839
tt0093177,tt0887261
tt0044706,tt0244536
tt0033717,tt0041253
tt0033717,tt0048190
tt0077681,tt0454841
tt0211413,tt0446463
tt0032599,tt0096203
tt0010258,tt0017078
tt0091209,tt0455960
tt0107121,tt0116502
tt0170016,tt2709692
tt0020985,tt0030241
tt0041473,tt0116544
tt0048104,tt0058453
tt0024139,tt0037640
tt0045888,tt0397065
tt0051744,tt0185371
tt11096406,tt1232783
tt0041487,tt0046808
tt0051746,tt0281919
tt0080904,tt0117506
tt0239096,tt0239096
tt0029030,tt0079319
tt0277027,tt0444874
tt0051756,tt0162999
tt0059297,tt0095344
tt0077713,tt1242432
tt0051758,tt0085710
tt0023634,tt0053134
tt0077716,tt1411276
tt0057180,tt0107131
tt0111543,tt0119432
tt0338564,tt0407887
tt0026529,tt0063748
tt0077735,tt0795403
tt0079336,tt0314786
tt0119375,tt0278504
tt0027796,tt0031491
tt0360674,tt0480269
tt1675434,tt9730752
tt0045917,tt0091276
tt0049366,tt0077745
tt0049366,tt0106452
tt0049366,tt0427392
tt0039502,tt5295386
tt0039502,tt0125204
tt0039502,tt0154413
tt0025316,tt0037685
tt0025316,tt0049973
tt0033766,tt0058222
tt0064505,tt0317740
tt0071675,tt1172060
tt0038650,tt0076213
tt0018037,tt0044765
tt0018037,tt0080948
tt0034920,tt0052629
tt0074720,tt0084809
tt0031514,tt0039581
tt0034922,tt0073213
tt0034928,tt0061852
tt0034928,tt0458419
tt0034928,tt3040964
tt0375878,tt0475591
tt0087538,tt1155076
tt0024216,tt0074751
tt0024216,tt0158780
tt0024216,tt0360717
tt0036984,tt0048260
